STORE_ID,SKU,TRAN_DATE,UNIT_SALES,REVENUE
STORE_001,SKU10000,2025-04-20,18,35.82
STORE_001,SKU10000,2025-04-21,20,39.8
STORE_001,SKU10000,2025-04-22,20,39.8
STORE_001,SKU10000,2025-04-23,23,45.77
STORE_001,SKU10000,2025-04-24,17,33.83
STORE_001,SKU10000,2025-04-25,17,33.83
STORE_001,SKU10000,2025-04-26,13,25.87
STORE_001,SKU10000,2025-04-27,25,49.75
STORE_001,SKU10000,2025-04-28,18,35.82
STORE_001,SKU10000,2025-04-29,17,33.83
STORE_001,SKU10000,2025-04-30,17,33.83
STORE_001,SKU10000,2025-05-01,21,41.79
STORE_001,SKU10000,2025-05-02,20,39.8
STORE_001,SKU10000,2025-05-03,20,39.8
STORE_001,SKU10000,2025-05-04,20,39.8
STORE_001,SKU10000,2025-05-05,22,43.78
STORE_001,SKU10000,2025-05-06,16,31.84
STORE_001,SKU10000,2025-05-07,19,37.81
STORE_001,SKU10000,2025-05-08,18,35.82
STORE_001,SKU10000,2025-05-09,20,39.8
STORE_001,SKU10000,2025-05-10,32,63.68
STORE_001,SKU10000,2025-05-11,26,51.74
STORE_001,SKU10000,2025-05-12,20,39.8
STORE_001,SKU10000,2025-05-13,22,43.78
STORE_001,SKU10000,2025-05-14,16,31.84
STORE_001,SKU10000,2025-05-15,14,27.86
STORE_001,SKU10000,2025-05-16,14,27.86
STORE_001,SKU10000,2025-05-17,19,37.81
STORE_001,SKU10000,2025-05-18,24,47.76
STORE_001,SKU10000,2025-05-19,22,43.78
STORE_001,SKU10000,2025-05-20,18,35.82
STORE_001,SKU10000,2025-05-21,17,33.83
STORE_001,SKU10000,2025-05-22,14,27.86
STORE_001,SKU10000,2025-05-23,23,45.77
STORE_001,SKU10000,2025-05-24,26,51.74
STORE_001,SKU10000,2025-05-25,19,37.81
STORE_001,SKU10000,2025-05-26,15,29.85
STORE_001,SKU10000,2025-05-27,19,37.81
STORE_001,SKU10000,2025-05-28,24,47.76
STORE_001,SKU10000,2025-05-29,20,39.8
STORE_001,SKU10000,2025-05-30,18,35.82
STORE_001,SKU10000,2025-05-31,22,43.78
STORE_001,SKU10000,2025-06-01,17,33.83
STORE_001,SKU10000,2025-06-02,23,45.77
STORE_001,SKU10000,2025-06-03,17,33.83
STORE_001,SKU10000,2025-06-04,14,27.86
STORE_001,SKU10000,2025-06-05,18,35.82
STORE_001,SKU10000,2025-06-06,18,35.82
STORE_001,SKU10000,2025-06-07,24,47.76
STORE_001,SKU10000,2025-06-08,26,51.74
STORE_001,SKU10000,2025-06-09,24,47.76
STORE_001,SKU10000,2025-06-10,20,39.8
